"","firstname","lastname","year","sex","count"
"230","ABDIANELIS","YECI",2015,"F",1
"231","ABDIANELYS","THAYRETH",2015,"F",1
"232","ABDIANETH","VICTORIA",2015,"F",1
"233","ABDIANIS","YOHARIS",2015,"F",1
"234","ABDIANYS","CHANELL",2015,"F",1
"235","ABDIAS","-",2015,"M",2
"236","ABDIAS","AAR—N",2015,"M",1
"237","ABDIAS","ABDIEL",2015,"M",3
"238","ABDIAS","ABIMAEL",2015,"M",1
"239","ABDIAS","ADYOBEL",2015,"M",1
"240","ABDIAS","ALEXIS",2015,"M",2
"241","ABDIAS","ANTONIO",2015,"M",6
"242","ABDIAS","DAMIAN",2015,"M",1
"243","ABDIAS","EMANUEL",2015,"M",1
"244","ABDIAS","EMELIO",2015,"M",1
"245","ABDIAS","GABRIEL",2015,"M",1
"246","ABDIAS","ISAAC",2015,"M",1
"247","ABDIAS","ISRAEL",2015,"M",1
"248","ABDIAS","JOEL",2015,"M",1
"249","ABDIAS","JOSSE",2015,"M",1
"250","ABDIAS","KARIM",2015,"M",1
"251","ABDIAS","LAURIEL",2015,"M",1
"252","ABDIAS","NORIEL",2015,"M",1
"253","ABDIAS","RAFAEL",2015,"M",1
"254","ABDIAS","SALOMON",2015,"M",1
"255","ABDIAS","UZIEL",2015,"M",1
"256","ABDIAS","YOEMIR",2015,"M",1
"257","ABDIAS","JUSEFH",2015,"M",1
"258","ABD’AS","-",2015,"M",2
"259","ABD’AS","ALEXANDER",2015,"M",3
"260","ABD’AS","ALFONSO",2015,"M",1
"261","ABD’AS","AMILKAR",2015,"M",1
"262","ABD’AS","ANTONIO",2015,"M",1
"263","ABD’AS","ARIEL",2015,"M",1
"264","ABD’AS","DADXIEL",2015,"M",1
"265","ABD’AS","DANIEL",2015,"M",1
"266","ABD’AS","DAVID",2015,"M",1
"267","ABD’AS","ELIAN",2015,"M",1
"268","ABD’AS","ELIAS",2015,"M",1
"269","ABD’AS","ISMAEL",2015,"M",1
"270","ABD’AS","JAMAL",2015,"M",1
"271","ABD’AS","JESŒS",2015,"M",1
"272","ABD’AS","NAHUM",2015,"M",1
"273","ABD’AS","ZAID",2015,"M",1
"274","ABD’AZ","JOSE",2015,"M",1
"275","ABDIEL","-",2015,"M",35
"276","ABDIEL","AARON",2015,"M",1
"277","ABDIEL","AAR—N",2015,"M",1
"278","ABDIEL","ABDEL",2015,"M",1
"279","ABDIEL","ABDUL",2015,"M",1
"280","ABDIEL","ABED",2015,"M",1
"281","ABDIEL","ADALBERTO",2015,"M",1
"282","ABDIEL","ADRIAN",2015,"M",2
"283","ABDIEL","ADRIÁN",2015,"M",1
"284","ABDIEL","ALBERTO",2015,"M",4
"285","ABDIEL","ALDAIR",2015,"M",2
"286","ABDIEL","ALEJANDRO",2015,"M",5
"287","ABDIEL","ALEXANDER",2015,"M",9
"288","ABDIEL","ALEXIS",2015,"M",4
"289","ABDIEL","ALFONSO",2015,"M",1
"290","ABDIEL","ALFREDO",2015,"M",1
"291","ABDIEL","ALSIBIADES",2015,"M",1
"292","ABDIEL","AMILCAR",2015,"M",1
"293","ABDIEL","AMIR",2015,"M",1
"294","ABDIEL","ANEL",2015,"M",2
"295","ABDIEL","ANTHONIO",2015,"M",1
"296","ABDIEL","ANTONIO",2015,"M",14
"297","ABDIEL","AQUILES",2015,"M",1
"298","ABDIEL","ARIN",2015,"M",1
"299","ABDIEL","ASBEL",2015,"M",1
"300","ABDIEL","AYMAR",2015,"M",1
"301","ABDIEL","BERNARDO",2015,"M",1
"302","ABDIEL","CARLOS",2015,"M",1
"303","ABDIEL","DANIEL",2015,"M",1
"304","ABDIEL","DARIO",2015,"M",1
"305","ABDIEL","DAVID",2015,"M",3
"306","ABDIEL","DEIVID",2015,"M",1
"307","ABDIEL","DEYVIS",2015,"M",1
"308","ABDIEL","EDGAR",2015,"M",1
"309","ABDIEL","EDUARDO",2015,"M",2
"310","ABDIEL","ELIAN",2015,"M",1
"311","ABDIEL","ELIAS",2015,"M",3
"312","ABDIEL","EL’AS",2015,"M",2
"313","ABDIEL","ELIECER",2015,"M",1
"314","ABDIEL","EMIR",2015,"M",1
"315","ABDIEL","ENOC",2015,"M",1
"316","ABDIEL","ENRIQUE",2015,"M",5
"317","ABDIEL","ENRIQUES",2015,"M",1
"318","ABDIEL","ESTEBAN",2015,"M",2
"319","ABDIEL","FELIX",2015,"M",1
"320","ABDIEL","GABRIEL",2015,"M",1
"321","ABDIEL","GERMAN",2015,"M",2
"322","ABDIEL","GINO",2015,"M",1
"323","ABDIEL","HIGINIO",2015,"M",1
"324","ABDIEL","ISAAC",2015,"M",5
"325","ABDIEL","ISACC",2015,"M",1
"326","ABDIEL","ISMAEL",2015,"M",1
"327","ABDIEL","IVAN",2015,"M",1
"328","ABDIEL","JAHIR",2015,"M",2
"329","ABDIEL","JAIR",2015,"M",1
"330","ABDIEL","JARED",2015,"M",1
"331","ABDIEL","JAVIER",2015,"M",1
"332","ABDIEL","JEAN",2015,"M",1
"333","ABDIEL","JESUS",2015,"M",1
"334","ABDIEL","JESŒS",2015,"M",2
"335","ABDIEL","JOEL",2015,"M",2
"336","ABDIEL","JORIEL",2015,"M",1
"337","ABDIEL","JOSE",2015,"M",1
"338","ABDIEL","JOSSUE",2015,"M",1
"339","ABDIEL","JOSUE",2015,"M",3
"340","ABDIEL","JOSUÉ",2015,"M",2
"341","ABDIEL","LEONEL",2015,"M",1
