tariff_fraction,total
7321.12.10,3780
4819.40.19,3757
1901.90.90,3752
8703.23.99,3704
9403.90.90,3703
8536.10.10,3687
7324.10.00,3679
8714.10.99,3674
1905.90.40,3661
6108.21.00,3657
8511.40.00,3647
8302.42.00,3646
4011.20.00,3619
3924.90.21,3610
6106.10.10,3609
7324.90.00,3608
6403.59.94,3606
8310.00.00,3604
9017.80.90,3601
8703.33.20,3595
2103.20.10,3589
3924.10.10,3589
7308.90.90,3585
8526.92.00,3576
8303.00.00,3572
8204.20.00,3566
6103.43.00,3548
8424.89.90,3547
1601.00.39,3546
6211.42.90,3542
8703.23.96,3541
1507.90.00,3541
8424.90.99,3537
3824.50.00,3536
9017.20.00,3536
9504.50.00,3534
6403.99.95,3513
8711.20.21,3509
9405.20.90,3503
7323.99.90,3500
6110.20.90,3498
4202.92.99,3491
8483.20.00,3490
6205.90.11,3485
9004.90.90,3484
6403.99.96,3483
2710.19.94,3472
0406.10.10,3465
3307.90.90,3461
4015.19.00,3449
4821.10.90,3440
9603.40.19,3420
8479.90.00,3414
8443.32.00,3413
6114.20.00,3402
1904.10.90,3400
8511.50.00,3393
3307.49.90,3389
9026.80.00,3388
8703.33.99,3385
7326.20.90,3376
6907.22.00,3361
0403.10.90,3359
8507.60.00,3358
4016.10.20,3352
6805.30.00,3346
6402.99.33,3346
6103.10.90,3336
6204.53.20,3330
6217.10.90,3325
6203.43.19,3320
3926.90.49,3318
6403.59.97,3318
1904.10.23,3306
6403.91.10,3293
9025.80.00,3293
0703.10.19,3289
8544.20.00,3280
8517.18.00,3278
9619.00.10,3272
8541.40.00,3265
8528.52.19,3247
8425.42.00,3230
1806.31.00,3218
9503.00.91,3217
6302.21.00,3216
6302.31.10,3216
3808.93.00,3215
9025.19.00,3213
1517.90.90,3210
8467.21.00,3209
6204.33.00,3177
9503.00.41,3176
8515.11.00,3173
9019.10.00,3169
8703.23.93,3166
8539.39.10,3159
9102.29.00,3144
3924.10.40,3143
2008.11.90,3139
1905.32.00,3137
4202.91.10,3134
6203.49.23,3131
6217.10.10,3128
0406.20.90,3128
1806.10.00,3124
8483.10.90,3121
8531.90.90,3115
8479.89.90,3110
8535.30.00,3104
6804.22.00,3094
8443.91.00,3089
4016.10.90,3077
6104.42.10,3073
9019.20.00,3067
8704.21.10,3063
2103.30.20,3058
4819.20.20,3055
7412.20.00,3054
3004.20.10,3052
7615.10.91,3051
6402.99.34,3049
8715.00.10,3048
8703.24.99,3040
9405.40.90,3040
2106.90.41,3035
8708.93.34,3026
4821.90.90,3025
4012.20.90,3020
6201.13.00,3018
6204.59.90,3013
8538.90.00,3003
4010.31.00,3003
9506.69.00,3001
4016.91.10,3001
9018.49.00,3001
8511.30.00,2998
8531.10.00,2995
3305.90.20,2989
6809.19.00,2988
8474.90.00,2984
8206.00.00,2983
8512.40.00,2977
6908.90.00,2974
9603.30.10,2973
6907.21.00,2972
8415.82.00,2969
3926.30.00,2967
6601.91.20,2966
6109.90.90,2964
3208.20.19,2963
1902.30.00,2942
4814.20.00,2940
8536.49.90,2939
7615.10.92,2924
8503.00.00,2915
1602.32.90,2913
3924.90.13,2908
8450.11.90,2907
8511.80.00,2904
9102.99.00,2902
9018.19.00,2900
8414.20.00,2899
4820.10.50,2896
3924.90.29,2893
8535.90.00,2889
6208.92.00,2886
8502.20.00,2881
3304.99.12,2863
9021.39.00,2858
8531.80.90,2858
9603.90.99,2856
4415.20.90,2847
6206.30.90,2845
8512.30.00,2836
2009.79.90,2831
6302.51.00,2825
8704.22.00,2822
2008.19.19,2813
8204.12.00,2813
7308.90.40,2791
2106.90.62,2790
6214.90.00,2787
8407.21.00,2764
6104.44.10,2761
9405.20.40,2760
8702.10.90,2757
1905.90.30,2752
6202.13.00,2745
3208.10.19,2744
6207.11.00,2744
8431.43.00,2743
2103.20.30,2741
8517.11.00,2728
3401.20.20,2724
6112.19.00,2723
9021.10.90,2722
8414.30.00,2715
6202.92.00,2711
3105.90.00,2709
6404.19.96,2707
9506.62.00,2707
3917.39.10,2702
6307.10.90,2700
8205.20.90,2700
8543.70.20,2692
4010.19.90,2690
6204.42.29,2686
6404.19.92,2684
3305.90.90,2678
7310.29.90,2664
2005.99.99,2658
9603.90.20,2658
8536.41.00,2656
8708.92.10,2652
4818.90.90,2646
8408.20.00,2645
6205.90.29,2642
8413.20.90,2639
8536.70.90,2633
3304.91.10,2633
6205.30.19,2613
8536.30.90,2605
8518.40.90,2601
2204.10.00,2590
6302.31.20,2588
3808.92.20,2583
8516.90.00,2575
3401.30.90,2571
8471.50.90,2568
8539.39.90,2567
6402.91.10,2566
3214.10.19,2556
8204.11.00,2555
8471.50.10,2554
9102.11.00,2539
9027.90.90,2538
9504.90.90,2535
8527.21.90,2532
8528.51.00,2518
3307.49.10,2501
9401.30.00,2500
2209.00.00,2493
6109.10.90,2490
8443.99.90,2489
3003.20.20,2487
8518.10.90,2485
9403.20.14,2477
8714.99.90,2472
3304.20.10,2468
3820.00.00,2463
7615.20.90,2460
2105.00.00,2455
6210.50.00,2452
7009.92.10,2446
8512.90.90,2445
9403.20.13,2435
7315.12.00,2429
5407.10.00,2429
8544.70.00,2424
3814.00.10,2417
3006.10.00,2417
0404.90.92,2406
8515.90.00,2401
7307.29.00,2397
6907.40.90,2395
4418.20.00,2394
8538.10.00,2383
2009.39.00,2380
6404.19.29,2380
3403.19.90,2377
7007.29.00,2377
0604.20.90,2376
8516.32.00,2371
1904.10.21,2369
9403.10.00,2368
8208.90.00,2367
6101.20.00,2363
1704.90.90,2360
2005.51.90,2360
8507.10.00,2353
4202.39.00,2350
3808.91.10,2349
8418.69.90,2348
7308.30.00,2342
6104.53.00,2342
6115.10.90,2341
6302.39.00,2336
9403.30.00,2330
3923.50.10,2326
6209.30.00,2325
8467.99.00,2324
4203.29.10,2323
4820.20.10,2320
6211.11.00,2318
3506.91.90,2315
6214.30.00,2310
9603.40.20,2305
3917.32.90,2302
8302.10.20,2293
6206.90.90,2289
3926.90.30,2273
6202.12.00,2270
6401.92.00,2265
8431.20.00,2261
4821.10.30,2254
9802.00.10,2250
3824.90.99,2250
4014.90.90,2248
7616.99.20,2240
8703.33.21,2239
9401.69.00,2239
3306.90.10,2232
7113.19.00,2231
3926.20.19,2230
3926.90.61,2229
5609.00.90,2214
6117.80.99,2213
6402.99.29,2204
2710.19.95,2203
0405.10.00,2202
9506.29.00,2202
6505.00.39,2202
4818.20.10,2200
6110.30.90,2199
