category_code,sub_category_code,sub_category,
XI,56,Guata; fieltro y tela sin tejer; hilados especiales; cordeles; cuerdas y cordajes; articulos de cord...,
XI,57,Alfombras y demas revestimientos para el suelo; de materia textil,
XI,58,Tejidos especiales; superficies textiles con mechon insertado; encajes; tapiceria; pasamaneria; bord...,
XI,59,Telas impregnadas; recubiertas; revestidas o estratificadas; articulos tecnicos de materia textil,
XI,60,Tejidos de punto,
XI,61,Prendas y complementos (accesorios); de vestir; de punto,
XI,62,Prendas y complementos (accesorios); de vestir; excepto los de punto,
XI,63,Los demas articulos textiles confeccionados; juegos; prenderia y trapos,
XII,64,Calzado; polainas y articulos analogos; partes de estos articulos,
XII,65,Sombreros; demas tocados; y sus partes,
XII,66,Paraguas; sombrillas; quitasoles; bastones; bastones asiento; latigos; fustas; y sus partes,
XII,67,Plumas y plumon preparados y articulos de plumas o plumon; flores artificiales; manufacturas de cabe...,
XIII,68,Manufacturas de piedra; yeso fraguable; cemento; amianto (asbesto); mica o materias analogas,
XIII,69,Productos ceramicos,
XIII,70,Vidrio y sus manufacturas,
XIV,71,"Perlas finas (naturales) o cultivadas, piedras preciosas o semipreciosas, metales preciosos, chapados de metal precioso (plaque) y manufacturas de estas materias; bisutería; monedas",
XV,72,Fundicion; hierro y acero,
XV,73,Manufacturas de fundicion; hierro o acero,
XV,74,Cobre y sus manufacturas,
XV,75,Niquel y sus manufacturas,
XV,76,Aluminio y sus manufacturas,
XV,77,Capítulo en reserva,
XV,78,Plomo y sus manufacturas,
XV,79,Cinc y sus manufacturas,
XV,80,Esta?o y sus manufacturas,
XV,81,Los demas metales comunes; cermets; manufacturas de estas materias,
XV,82,Herramientas y utiles; articulos de cuchilleria y cubiertos de mesa; de metal comun; partes de estos...,
XV,83,Manufacturas diversas de metal comun,
XVI,84,Reactores nucleares; calderas; maquinas; aparatos y artefactos mecanicos; partes de estas maquinas o...,
XVI,85,Maquinas; aparatos y material electrico; y sus partes; aparatos de grabacion o reproduccion de sonid...,
XVII,86,Vehiculos y material para vias ferreas o similares; y sus partes; aparatos mecanicos (incluso electr...,
XVII,87,Vehiculos automoviles; tractores; velocipedos y demas vehiculos terrestres; sus partes y accesorios,
XVII,88,Aeronaves; vehiculos espaciales; y sus partes,
XVII,89,Barcos y demas artefactos flotantes,
XVIII,90,Instrumentos y aparatos de optica; fotografia o cinematografia; de medida; control o precision; inst...,
XVIII,91,Aparatos de relojeria y sus partes,
XVIII,92,Instrumentos musicales; sus partes y accesorios,
XIX,93,Armas; municiones; y sus partes y accesorios,
XX,94,Muebles; mobiliario medicoquirurgico; articulos de cama y similares; aparatos de alumbrado no expres...,
XX,95,Juguetes; juegos y articulos para recreo o deporte; sus partes y accesorios,
XX,96,Manufacturas diversas,
XXI,96,Objetos de arte o coleccion y antiguedades,
,,,
,,,
,,,
,,,
,,,
